facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
137001,3.37,0,0,0,1,treatment,KB,2,Yes,Yes,No,No,No,No,Yes,4,150,40,20,1,Yes,Yes,6,1,1,60,1,1,1,1,1,1,1,1,28,1645,404,221,54.7029703,High,Yes,2,4,3,3,4,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,4,1,2,1,1,1,2.1,2,7,13,225,7,7,2,13,0.01,2,4,13
137101,4.495,0,0,0,1,control,TK,3,Yes,Yes,No,No,No,No,No,6,90,47,16,1,Yes,Yes,11,2,1,30,1,1,1,1,1,1,0,1,28,1645,404,221,54.7029703,High,Yes,2,4,3,3,4,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,4,1,2,1,1,1,2.1,2,7,13,225,7,7,2,13,0.01,2,4,13
138101,2.84,0,0,0.5,0.5,control,TK,2,Yes,Yes,No,No,No,No,No,6,90,13,7,0,Yes,Yes,0,1,1,10,0,1,1,1,1,1,0,0,20,1578,336,170,50.5952381,High,Yes,1,2,2,4,1,4,4,2.833333333,3,4,1,4,4,4,3.333333333,2,2,4,4,1,4,4,1,2,1,2.5,0.5,10,15,150,10,10,0.5,15,0.5,0.5,10,150
138201,2.385,0,0,1,0,control,KB,2,Yes,Yes,No,No,No,No,No,6,120,37,19,0,Yes,Yes,1,1,1,20,2,1,1,0,1,1,0,1,20,1578,336,170,50.5952381,High,Yes,1,2,2,4,1,4,4,2.833333333,3,4,1,4,4,4,3.333333333,2,2,4,4,1,4,4,1,2,1,2.5,0.5,10,15,150,10,10,0.5,15,0.5,0.5,10,150
139002,3.845,0,0,1,0,treatment,KB,1,No,Yes,No,No,Yes,No,Yes,5,150,11,11,0,Yes,Yes,2,1,1,24,1,1,1,1,1,1,1,1,28,2560,688,333,48.40116279,High,Yes,1,4,4,3,1,4,4,3.333333333,3,2,3,3,3,3,2.833333333,1,2,4,4,4,4,3,4,4,1,3.1,5,10,6,128,10,6,0.5,6,0.100000001,0.100000001,7,6
139101,4.015,0,0,0.6,0.4,control,TK,5,No,Yes,No,No,Yes,No,No,6,90,58,12,1,Yes,Yes,0,3,1,20,1,1,1,1,1,1,0,2,28,2560,688,333,48.40116279,High,Yes,1,4,4,3,1,4,4,3.333333333,3,2,3,3,3,3,2.833333333,1,2,4,4,4,4,3,4,4,1,3.1,5,10,6,128,10,6,0.5,6,0.100000001,0.100000001,7,6
140002,3.11,0,0,1,0,treatment,KB,1,,,,,,,,5,120,18,18,1,Yes,Yes,3,1,1,25,1,0,1,1,1,1,1,1,27,1683,531,268,50.47080979,High,Yes,1,4,4,4,1,4,4,3.5,3,2,3,3,2,2,2.5,1,2,4,4,4,4,3,4,2,1,2.9,12,13,12.69999981,110,12,13.5,1.5,15,0.25,1.5,6,13.5
140101,2.575,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,90,36,18,1,Yes,Yes,0,1,1,10,1,2,1,1,1,1,1,1,28,1683,531,268,50.47080979,High,Yes,1,4,4,4,1,4,4,3.5,3,2,3,3,2,2,2.5,1,2,4,4,4,4,3,4,2,1,2.9,12,13,12.69999981,110,12,13.5,1.5,15,0.25,1.5,6,13.5
141001,3.88,0,0,1,0,treatment,KB,1,Yes,No,No,No,No,No,No,5,135,16,16,0,Yes,Yes,4,2,1,70,1,1,1,1,1,1,1,1,29,2610,610,350,57.37704918,High,Yes,0,4,4,2,4,4,4,3.666666667,2,2,3,3,3,3,2.666666667,1,2,4,4,3,3,4,4,4,1,3,0.200000003,7,15,110,7,15,4,15,0.200000003,7,10,15
141101,3.315,0,0,0,1,control,TK,4,Yes,Yes,Yes,No,No,No,Yes,6,90,57,14,1,Yes,Yes,0,2,1,5,1,1,1,0,1,1,0,1,26,2610,610,350,57.37704918,High,Yes,0,4,4,2,4,4,4,3.666666667,2,2,3,3,3,3,2.666666667,1,2,4,4,3,3,4,4,4,1,3,0.200000003,7,15,110,7,15,4,15,0.200000003,7,10,15
142101,2.465,0,0,0,1,control,TK,5,Yes,Yes,Yes,No,No,Yes,Yes,6,90,79,16,1,Yes,Yes,0,2,1,50,2,2,2,2,1,1,0,1,28,2319,677,374,55.2437223,High,Yes,3,4,4,4,4,3,4,3.833333333,3,2,1,3,3,3,2.5,1,2,4,4,1,1,2,4,4,1,2.4,3.5,4,12,124,5,6,2,4,0.400000006,1.5,4,12
142201,1.895,0,0,1,0,control,KB,2,No,No,No,No,No,No,No,6,120,11,6,0,Yes,Yes,0,1,1,12,1,1,1,2,1,1,1,0,11,2319,677,374,55.2437223,High,Yes,3,4,4,4,4,3,4,3.833333333,3,2,1,3,3,3,2.5,1,2,4,4,1,1,2,4,4,1,2.4,3.5,4,12,124,5,6,2,4,0.400000006,1.5,4,12
143001,3.595,0,0,1,0,treatment,KB,1,Yes,Yes,No,No,No,No,Yes,4,120,11,11,0,Yes,No,2,1,1,7,1,1,1,1,1,1,1,1,26,1001,309,126,40.77669903,High,Yes,3,4,3,3,1,4,4,3.166666667,3,3,3,3,3,3,3,1,2,4,4,4,1,2,4,4,1,2.7,6,8,24,135,12,12,2,12,0.5,2,6,24
